Coach,Tm,,#,#,,G,W,L,G,W,L,G,W,L,W%,,G,W,L,G,W,L,G,W,L
Lloyd Pierce,ATL,,1,1,,75,27,48,75,27,48,75,27,48,.360,,,,,,,,,,
Brad Stevens,BOS,,6,6,,75,44,31,485,265,220,485,265,220,.546,,,,,47,22,25,47,22,25
Kenny Atkinson,BRK,,3,3,,75,38,37,239,86,153,239,86,153,.360,,,,,,,,,,
Fred Hoiberg,CHI,,4,4,,24,5,19,270,115,155,270,115,155,.426,,,,,6,2,4,6,2,4
Jim Boylen,CHI,,1,1,,51,16,35,51,16,35,51,16,35,.314,,,,,,,,,,
James Borrego,CHO,,1,2,,74,35,39,74,35,39,104,45,59,.433,,,,,,,,,,
Tyronn Lue,CLE,,4,4,,6,0,6,211,128,83,211,128,83,.607,,,,,61,41,20,61,41,20
Larry Drew,CLE,,1,5,,69,19,50,69,19,50,381,162,219,.425,,,,,,,,24,10,14
Rick Carlisle,DAL,,11,17,,74,29,45,878,466,412,1370,747,623,.545,,,,,58,28,30,120,58,62
Mike Malone,DEN,,4,6,,73,50,23,319,169,150,425,208,217,.489,,,,,,,,,,
Dwane Casey,DET,,1,10,,74,37,37,74,37,37,754,410,344,.544,,,,,,,,51,21,30
Steve Kerr,GSW,,5,5,,73,50,23,401,315,86,401,315,86,.786,,,,,83,63,20,83,63,20
Mike D'Antoni,HOU,,3,15,,75,47,28,239,167,72,1120,622,498,.555,,,,,28,17,11,87,43,44
Nate McMillan,IND,,3,15,,74,45,29,238,135,103,1168,613,555,.525,,,,,11,3,8,45,17,28
Doc Rivers,LAC,,6,20,,75,45,30,485,304,181,1545,891,654,.577,,,,,40,18,22,161,82,79
Luke Walton,LAL,,3,3,,74,33,41,238,94,144,238,94,144,.395,,,,,,,,,,
J.B. Bickerstaff,MEM,,2,3,,74,30,44,137,45,92,208,82,126,.394,,,,,,,,5,1,4
Erik Spoelstra,MIA,,11,11,,74,36,38,878,520,358,878,520,358,.592,,,,,118,71,47,118,71,47
Mike Budenholzer,MIL,,1,6,,75,56,19,75,56,19,485,269,216,.555,,,,,,,,39,17,22
Tom Thibodeau,MIN,,3,8,,40,19,21,204,97,107,598,352,246,.589,,,,,5,1,4,56,24,32
Ryan Saunders,MIN,,1,1,,34,14,20,34,14,20,34,14,20,.412,,,,,,,,,,
Alvin Gentry,NOP,,4,16,,76,31,45,322,143,179,1027,478,549,.465,,,,,9,5,4,30,17,13
David Fizdale,NYK,,1,3,,74,14,60,74,14,60,175,64,111,.366,,,,,,,,6,2,4
Billy Donovan,OKC,,4,4,,74,43,31,320,193,127,320,193,127,.603,,,,,29,14,15,29,14,15
Steve Clifford,ORL,,1,6,,75,37,38,75,37,38,485,233,252,.480,,,,,,,,11,3,8
Brett Brown,PHI,,6,6,,74,47,27,484,174,310,484,174,310,.360,,,,,10,5,5,10,5,5
Igor Kokoskov,PHO,,1,1,,75,17,58,75,17,58,75,17,58,.227,,,,,,,,,,
Terry Stotts,POR,,7,11,,73,46,27,565,318,247,848,433,415,.511,,,,,35,11,24,40,12,28
Dave Joerger,SAC,,3,6,,74,37,37,238,96,142,484,243,241,.502,,,,,,,,22,9,13
Gregg Popovich,SAS,,23,23,,75,43,32,1813,1240,573,1813,1240,573,.684,,,,,277,167,110,277,167,110
Nick Nurse,TOR,,1,1,,75,52,23,75,52,23,75,52,23,.693,,,,,,,,,,
Quin Snyder,UTA,,5,5,,74,44,30,402,221,181,402,221,181,.550,,,,,22,9,13,22,9,13
Scott Brooks,WAS,,3,10,,75,30,45,239,122,117,784,460,324,.587,,,,,19,9,10,92,48,44